species,age,count
other-bear,22,4
other-bear,36,1
arctic-fox,14,6
raccoon,46,1
dragon,53,1
coyote,44,2
other-bear,44,2
lizard,29,1
rabbit,44,1
brown-bear,34,2
skunk,34,2
cougar,16,2
red-fox,43,4
snow-leopard,33,4
german-shep,33,3
arctic-fox,15,11
dinosaur,16,4
skunk,16,2
polar-bear,16,4
collie,18,3
deer,37,2
raven,27,3
mouse,20,3
dinosaur,14,3
hyena,14,5
other-bird,34,3
other-dog,51,1
kitsune,41,3
german-shep,41,1
lion,41,2
leopard,41,1
panther,41,1
cougar,41,1
other-feline,41,2
other-ungulate,32,6
brown-bear,17,7
pandabear,2,1
leopard,16,3
skunk,17,2
other-dog,43,2
tiger,43,1
other-ungulate,35,2
dragon,14,10
other-bear,28,4
bat,47,1
polar-bear,23,5
skunk,35,2
river-otter,41,2
griffin,30,2
skunk,15,4
pandabear,15,1
arctic-fox,46,1
other-marsupial,17,3
panther,33,2
kangaroo,33,2
dragon,1,4
lizard,1,1
dinosaur,30,4
german-shep,36,2
other-ungulate,39,2
other-ungulate,40,1
tiger,48,1
tiger,55,1
panther,40,1
weasel,32,2
other-mustelid,32,1
cheetah,60,2
other-feline,60,1
other-feline,36,2
badger,23,2
koala,23,1
other-marsupial,23,2
other-feline,67,1
german-shep,39,2
other-musteloid,29,1
other-musteloid,22,2
skunk,33,2
other-ungulate,16,6
pandabear,37,1
raptor,31,1
brown-bear,5,1
kangaroo,5,1
dinosaur,34,1
other-musteloid,28,2
koala,18,1
river-otter,59,2
other,59,2
red-fox,37,3
red-panda,32,1
kitsune,0,1
lizard,0,1
other,0,2
griffin,0,1
other-musteloid,21,1
other,43,4
other,45,3
red-panda,14,2
brown-bear,32,1
other-fox,37,2
sea-otter,28,1
collie,36,2
panther,36,2
arctic-fox,35,1
coyote,37,1
raptor,37,1
grey-fox,1,1
husky,14,12
collie,14,4
tiger,14,3
leopard,14,2
snow-leopard,14,6
cheetah,14,4
cougar,15,1
horse,38,3
german-shep,38,4
badger,37,1
river-otter,37,1
kitsune,43,1
dragon,43,3
deer,1,3
cheetah,16,4
other-dog,38,2
other-mustelid,16,2
snow-leopard,35,2
other-dog,54,1
red-fox,60,1
dragon,60,2
husky,86,1
dragon,4,1
tiger,15,6
other-fox,57,1
coyote,57,1
rabbit,57,1
brown-bear,43,1
lemur,26,1
hyena,0,1
weasel,33,2
red-fox,56,1
rabbit,56,1
raptor,39,2
other-musteloid,30,2
other-mustelid,18,1
other-primate,20,2
other-musteloid,16,1
lemur,16,1
mouse,16,2
collie,19,2
bat,33,1
other-fox,13,4
coyote,13,6
german-shep,13,3
husky,13,7
collie,13,2
other-dog,13,5
tiger,13,2
lion,13,2
leopard,13,2
snow-leopard,13,4
panther,13,2
cheetah,13,3
cougar,13,2
domestic-cat,13,7
other-feline,13,7
dragon,13,6
raccoon,13,1
weasel,13,1
red-panda,13,1
pandabear,13,1
polar-bear,13,1
mouse,13,1
raptor,13,3
rabbit,13,1
kangaroo,13,1
lemur,13,1
hyena,13,1
panther,31,2
rat,45,1
kitsune,36,4
sea-otter,49,1
other-mustelid,49,1
other-bear,49,1
panther,30,2
wolf,99,1
red-fox,99,1
arctic-fox,99,1
other-fox,99,1
jackal,99,1
german-shep,99,1
other-dog,99,1
other-canine,99,1
tiger,99,1
leopard,99,1
panther,99,1
cheetah,99,1
cougar,99,1
domestic-cat,99,1
skunk,99,1
sea-otter,99,1
weasel,99,1
other-mustelid,99,1
other-musteloid,99,1
horse,99,1
brown-bear,99,1
pandabear,99,1
mouse,99,1
raven,99,1
raptor,99,1
rabbit,99,1
kangaroo,99,1
koala,99,1
lemur,99,1
monkey,99,1
other-primate,99,1
hyena,99,1
bat,99,1
griffin,99,1
weasel,17,1
polar-bear,17,3
other-bear,17,3
squirrel,17,1
cheetah,43,1
horse,42,2
other-musteloid,15,2
raccoon,14,2
arctic-fox,33,1
raven,15,2
domestic-cat,36,1
badger,16,2
other-dog,48,1
other-fox,35,1
other-bird,49,1
lion,16,2
domestic-cat,12,2
other,12,4
squirrel,16,2
raccoon,37,1
sea-otter,38,1
kangaroo,38,2
dinosaur,38,2
raptor,38,2
griffin,38,1
collie,31,1
lion,44,1
collie,42,1
weasel,41,1
mouse,27,3
polar-bear,42,2
raven,30,3
arctic-fox,44,1
domestic-cat,44,2
hyena,44,1
polar-bear,32,1
coyote,40,1
griffin,32,1
lizard,34,1
other-dog,66,1
horse,50,1
deer,50,1
other,50,2
sea-otter,15,1
husky,46,2
hyena,46,1
wolf,13,15
arctic-fox,13,7
squirrel,27,2
dinosaur,27,2
red-fox,58,2
lion,42,1
cougar,26,3
deer,66,1
husky,48,1
